Total IRAM section .iram0.text size: 95175 bytes

Function                             Size (KB)    % of IRAM   Cumulative %
heap_caps_realloc_prefer                  0.13         0.14%          57.69%
heap_caps_calloc_prefer                   0.13         0.14%          57.84%
prvCopyItemByteBuf                        0.13         0.14%          57.98%
spi_flash_chip_mxic_opi_erase_block       0.13         0.14%          58.12%
spi_flash_chip_mxic_opi_erase_sector       0.13         0.14%          58.27%
spi_flash_chip_mxic_opi_erase_chip        0.13         0.14%          58.41%
esp_system_reset_modules_on_exit          0.13         0.14%          58.55%
systimer_hal_set_alarm_period             0.13         0.14%          58.70%
pm_beacon_monitor_tbtt_start              0.13         0.14%          58.84%
esp_cpu_stall                             0.13         0.14%          58.98%
esp_timer_start_periodic                  0.13         0.14%          59.12%
dram_alloc_to_iram_addr                   0.13         0.14%          59.25%
memspi_host_read_id_hs                    0.13         0.14%          59.39%
xRingbufferCreate                         0.13         0.14%          59.53%
spi_flash_hal_read                        0.13         0.14%          59.66%
SysTickIsrHandler                         0.13         0.14%          59.80%
spi_flash_chip_mxic_opi_page_program       0.13         0.14%          59.93%
get_psram_tuning_configs                  0.12         0.13%          60.07%
spi_flash_hal_program_page                0.12         0.13%          60.20%
heap_caps_realloc_default                 0.12         0.13%          60.33%
acquire_core                              0.12         0.13%          60.46%
pm_get_null_max_tx_time                   0.12         0.13%          60.59%
ppProcessLifeTime                         0.12         0.13%          60.72%
vTaskRemoveFromUnorderedEventList         0.12         0.12%          60.84%
spi_ll_set_command                        0.11         0.12%          60.96%
esp_timer_impl_set_alarm_id               0.11         0.12%          61.09%
esp_wifi_bt_power_domain_on               0.11         0.12%          61.21%
esp_wifi_power_domain_on                  0.11         0.12%          61.33%
mspi_timing_set_pin_drive_strength        0.11         0.12%          61.45%
esp_intr_noniram_disable                  0.11         0.12%          61.57%
mspi_timing_config_psram_set_extra_dummy       0.11         0.12%          61.69%
multi_heap_realloc_impl                   0.11         0.12%          61.81%
multi_heap_realloc                        0.11         0.12%          61.94%
tick_hook                                 0.11         0.12%          62.06%
memspi_host_init_pointers                 0.11         0.12%          62.17%
spi_flash_chip_mxic_opi_set_write_protect       0.11         0.12%          62.29%
heap_caps_malloc_default                  0.11         0.12%          62.41%
spi_flash_chip_mxic_opi_get_io_mode       0.11         0.12%          62.53%
systimer_hal_set_alarm_target             0.11         0.12%          62.65%
prvCheckItemFitsByteBuffer                0.11         0.12%          62.77%
ram_bt_set_tx_gain                        0.11         0.12%          62.88%
spi_flash_hal_erase_sector                0.11         0.12%          63.00%
esp_flash_get_physical_size               0.11         0.11%          63.11%
esp_flash_read_encrypted                  0.10         0.11%          63.22%
esp_mmu_paddr_find_caps                   0.10         0.11%          63.33%
bg_exit_core                              0.10         0.11%          63.44%
rtc_clk_cpu_freq_mhz_to_config            0.10         0.11%          63.55%
prvInitialiseTaskLists                    0.10         0.11%          63.66%
read_id_core                              0.10         0.11%          63.77%
spi_flash_hal_erase_block                 0.10         0.11%          63.87%
esp_cpu_compare_and_set                   0.10         0.11%          63.98%
esp_timer_start_once                      0.10         0.11%          64.09%
spi_flash_chip_generic_page_program       0.10         0.11%          64.19%
